Year,Area (million hectare),Pesticides (thousand tonnes),Fertilizer (lakh tonnes),MSP_Paddy (Rs/quintal),MSP_Wheat (Rs/quintal),Seeds (lakh quintals),Current_Prices (Rs Crore),Constant_Prices (Rs Crore),Rice_Area (million hectare),Rice_Yield (Kg./Hectare),Wheat_Area (million hectare),Wheat_Yield (Kg./Hectare),Wheat_Irrigation(%),Rice_Irrigation(%),Electricity used for Irrigation(GWH),Electricity_percapita(KWh),CPI,MSP_adjusted_wheat,MSP_adjusted_rice
1982,125.1,50,63.88,122,151,42.06,13326.54,105762.48,38.26,1231,23.57,1816,72.53,41.96,17816.84,25.1,11.88333633,12.70686917,10.26647707
1983,131.16,55,77.1,132,152,44.97,15196.77,108280.58,41.24,1457,24.67,1843,73,42.7,18233.63,23.33,13.29366035,11.43402163,9.929545101
1984,126.67,56,82.11,137,157,48.48,16261.45,110378.54,41.16,1417,23.56,1870,74.47,43.72,20960.44,28.35,14.39954761,10.90312031,9.514187786
1985,128.02,52,84.74,142,162,55.01,17542.16,111553.41,41.14,1552,23,2046,74.61,42.86,23421.97,31.04,15.19964756,10.65814187,9.342321882
1986,127.2,50,86.45,146,166,55.83,19255.58,113270.91,41.17,1471,23.13,1916,76.34,44.09,29443.96,38.24,16.52653434,10.04445316,8.834278076
1987,119.69,66.9,87.84,150,173,56.3,20945.81,111192.72,38.81,1465,23.06,2002,76.84,43.61,35266.55,44.92,17.98105542,9.621237239,8.342113213
1988,127.67,75.89,110.4,160,183,56.8,24120.43,121601.68,41.73,1689,24.11,2244,79.25,45.79,38878.37,48.57,19.6683027,9.304310737,8.134916492
1989,126.77,72,115.68,185,215,57.04,25691.83,123424.64,42.17,1745,23.5,2121,80.27,46.09,44055.91,53.73,21.05969351,10.20907545,8.784553294
1990,127.84,75,125.46,205,225,57.1,29398.16,126341.86,42.69,1740,24.17,2281,81.14,45.55,50321.4,60.13,22.94900758,9.804345535,8.932848154
1991,121.87,72.13,127.28,230,280,57.5,34877.76,128311.62,42.65,1751,23.26,2394,83.68,47.3,58557.17,68.37,26.13209143,10.7147949,8.801438668
1992,123.15,70.79,121.53,270,330,60.33,37334.48,129627.11,41.78,1744,24.59,2327,84.24,48.02,63327.79,72.68,29.21249455,11.29653613,9.242620466
1993,122.75,63.65,123.66,310,350,62.2,41094.98,133402.31,42.54,1888,25.15,2380,84.77,48.6,70699.48,79.62,31.06073709,11.26824515,9.980445702
1994,123.86,61.36,135.64,340,360,65.86,47212.85,137089.81,42.81,1911,25.7,2559,85.12,49.87,79300.94,87.73,34.24382141,10.51284539,9.928798423
1995,121.01,61.26,138.77,360,380,69.9,53333.93,140065.92,42.84,1797,25.01,2483,85.8,49.91,85732.15,93.2,37.74521317,10.06750176,9.537633246
1996,123.58,56.11,143.08,380,475,73.27,55204.33,141498.49,43.43,1859,25.89,2679,86.86,53.46,84018.95,89.07,41.13365846,11.54772072,9.238176574
1997,124.07,52.24,161.88,415,510,78.79,61605.04,146847.93,43.45,1900,26.7,2485,86.33,53.22,91241.56,95.14,44.08057745,11.56972139,9.414577213
